Date (dd/mm/yyyy),23/12/2025,,,,,,,,,
34BACK,TFL3W-SMAT,1,2132,604.1,,19,1,1,1,1
CLEAT,TFL3W-SMAT,2,790.6,76.2,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,819.8,,19,1,1,1,1
TK,TFL3W-SMAT,1,490.5,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,529.5,,19,1,1,1,1
34BACK,TFL3W-SMAT,1,404,657.7,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,404,667.4,,19,1,1,1,1
TK,TFL3W-SMAT,2,946.1,96.5,,19,0,0,0,0
TK,TFL3W-SMAT,2,914.4,96.5,,19,0,0,0,0
TK,TFL3W-SMAT,3,638.2,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,2,2132,975.4,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,933.9,,19,1,1,1,1
TK,TFL3W-SMAT,2,790.6,96.5,,19,0,0,0,0
34PNLFI1414,TFL3W-SMAT,1,1012,730.2,,19,1,1,1,1
34PNLRI1414,TFL3W-SMAT,1,1012,730.2,,19,1,1,1,1
34PNLLI1414,TFL3W-SMAT,1,1012,730.2,,19,1,1,1,1
34PNLF,TFL3W-SMAT,12,2132,355.6,,19,1,1,1,1
34PNLR,TFL3W-SMAT,4,2132,355.6,,19,1,1,1,1
34PNLL,TFL3W-SMAT,4,2132,355.6,,19,1,1,1,1
34PNLF,TFL3W-SMAT,2,404,482.6,,19,1,1,1,1
34PNLR,TFL3W-SMAT,1,404,482.6,,19,1,1,1,1
34PNLL,TFL3W-SMAT,1,404,482.6,,19,1,1,1,1
LDREURO,TFL3W-SMAT,2,1053,463.7,,19,1,1,1,1
HDREURO,TFL3W-SMAT,1,701,625.6,,19,1,1,1,1
RDREURO,TFL3W-SMAT,2,1053,463.7,,19,1,1,1,1
H.811.03.504,"Jewelry Tray (24"") (Uses Tilt-down 6"" ""D"" Front - Needs fixed shelf)",2,,,,,,,,
H.547.42.994,Flap Stay Hamper Kit Black,1,,,,,,,,
H.547.43.313,"Tilt-out Hamper, Black Canvas",1,,,,,,,,
H.808.71.203,Valet Rod Polished Chrome [LEFT],1,,,,,,,,
H.547.52.226,Synergy Elite Shoe Fence Polished Chrome ,16,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,765.2,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,623.5,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,481,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,555.6,,,,,
M-04-5311,Oval Rod Holder Chrome,26,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,625.1,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,4,,,936.6,,,,,
M-372-NJ35D65-14,"Side Mount Softclose Slides 14""",2,,,,,,,,
M-105-DS10450H,"Undermount Softclose Slides 18""",3,,,,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",19,,,,,,,,
M-105-C80B675F,Soft Close Hinge110' HalfOverlay Closets,29,,,,,,,,
M-105-89T02TQ,Softclose Plate 0mm Closets,29,,,,,,,,
M-R20-1513,Flat Screw #6 x 1/2   #1 Drive,12,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,233,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,223,,,,,,,,
R-5282G,Corner Bracket / Steel,24,,,,,,,,
H.263.50.705,Fixed Shelf Cams White,381,,,,,,,,
R-B1655WH,Corner Bracket / White,24,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,349,,,,,,,,
M-03-2415,Adjustable Shelf Pins,68,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,349,,,,,,,,
M-06-7000,System screw Pozi (euro),130,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,66,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,44,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,48,,,,,,,,
